Career_Name,Sector,Required_Skills,Required_Subjects,Interests,Education_Level,Average_Salary_LKR
UI/UX Designer,IT,"Problem Solving, Leadership, Patient Care","English, Economics",Business & Finance,Diploma,148126
UI/UX Designer,IT,"Patient Care, Data Analysis, Creativity","Biology, Physics",Education,MSc,131353
Business Analyst,IT,"Teamwork, Patient Care, Data Analysis","Chemistry, Biology",Business & Finance,Diploma,148197
Business Analyst,IT,"Research, Leadership, Teamwork","Economics, ICT",Law & Policy,Diploma,167479
Software Engineer,IT,"Design, Project Management, Communication","Management, Chemistry",Technology,PhD,92229
DevOps Engineer,IT,"Teaching, Teamwork, Communication","Management, Chemistry",Law & Policy,PhD,225671
Data Scientist,IT,"Marketing, Teamwork, Programming","Economics, Math",Law & Policy,BSc,198499
Data Scientist,IT,"Research, Patient Care, Marketing","ICT, Statistics",Art & Creativity,MSc,244478
Data Scientist,IT,"Programming, Research, Teamwork","Biology, History",Education,Diploma,80938
Data Analyst,IT,"Project Management, Teaching, Data Analysis","Chemistry, Management",Travel & Hospitality,BSc Honours,161639
Software Engineer,IT,"Teamwork, Teaching, Leadership","Management, Statistics",Education,BEd,139255
Cybersecurity Analyst,IT,"Patient Care, Communication, Teaching","History, Accounting",Education,MSc,168356
Business Analyst,IT,"Teaching, Research, Project Management","Statistics, Math",Science,MBA,138877
DevOps Engineer,IT,"Project Management, Teamwork, Critical Thinking","Accounting, History",Education,BSc,229946
Data Scientist,IT,"Research, Project Management, Leadership","Physics, English",Art & Creativity,LLB,86384
Web Developer,IT,"Problem Solving, Teaching, Critical Thinking","Management, Biology",Health & Wellness,MBBS,132408
DevOps Engineer,IT,"Creativity, Communication, Problem Solving","Accounting, Chemistry",Helping People,MBBS,219301
Cybersecurity Analyst,IT,"Communication, Patient Care, Data Analysis","Statistics, Physics",Health & Wellness,BSc Honours,166481
Software Engineer,IT,"Critical Thinking, Teaching, Creativity","Biology, History",Science,BSc,105079
DevOps Engineer,IT,"Leadership, Research, Programming","Accounting, Math",Law & Policy,MBA,225832
Nurse,Healthcare,"Communication, Research, Design","Statistics, English",Travel & Hospitality,LLB,157127
Pharmacist,Healthcare,"Creativity, Problem Solving, Research","Management, Chemistry",Business & Finance,BSc,129366
Speech Therapist,Healthcare,"Critical Thinking, Communication, Project Management","History, Physics",Education,LLB,158258
Doctor,Healthcare,"Programming, Marketing, Leadership","Accounting, Math",Science,BSc,222227
Lab Technician,Healthcare,"Design, Project Management, Communication","Management, Physics",Law & Policy,Diploma,211490
Medical Researcher,Healthcare,"Critical Thinking, Design, Project Management","Math, Physics",Education,LLB,99068
Nurse,Healthcare,"Research, Creativity, Teaching","History, ICT",Technology,LLB,171158
Dentist,Healthcare,"Teaching, Research, Design","Chemistry, Statistics",Law & Policy,BEd,104222
Lab Technician,Healthcare,"Teaching, Patient Care, Research","Chemistry, Math",Art & Creativity,MBBS,111311
Physiotherapist,Healthcare,"Patient Care, Teamwork, Teaching","History, Biology",Technology,BSc Honours,152372
Lab Technician,Healthcare,"Data Analysis, Teamwork, Patient Care","Accounting, Chemistry",Technology,BSc,212821
Occupational Therapist,Healthcare,"Communication, Programming, Marketing","ICT, Chemistry",Business & Finance,BEd,166029
Dentist,Healthcare,"Programming, Teaching, Problem Solving","Management, History",Helping People,MBBS,256442
Occupational Therapist,Healthcare,"Communication, Project Management, Programming","Accounting, Economics",Law & Policy,BSc,124417
Nurse,Healthcare,"Creativity, Design, Teamwork","English, Economics",Research,LLB,270591
Dentist,Healthcare,"Programming, Creativity, Critical Thinking","Economics, Physics",Art & Creativity,BSc,143658
Nurse,Healthcare,"Leadership, Teaching, Data Analysis","Economics, Physics",Science,LLB,246276
